,Athelete ID,NOC,Games,Year,Season,City,Sport,Event,Medal
0,1,CHN,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,
1000,562,POL,1998 Winter,1998,Winter,Nagano,Speed Skating,"Speed Skating Men's 1,000 metres",
2000,1106,IRI,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,
3000,1671,JPN,1968 Winter,1968,Winter,Grenoble,Ice Hockey,Ice Hockey Men's Ice Hockey,
4000,2305,ARG,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's 100 metres,
5000,2851,CAN,1992 Winter,1992,Winter,Albertville,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
6000,3370,ITA,1984 Summer,1984,Summer,Los Angeles,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
7000,3926,SWE,1952 Summer,1952,Summer,Helsinki,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",
8000,4432,GBR,1920 Summer,1920,Summer,Antwerpen,Swimming,Swimming Men's 400 metres Freestyle,
9000,4949,TCH,1920 Summer,1920,Summer,Antwerpen,Tennis,Tennis Men's Doubles,
10000,5463,PHI,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,
11000,6008,ITA,1964 Winter,1964,Winter,Innsbruck,Luge,Luge Women's Singles,
12000,6541,POL,1968 Winter,1968,Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,
13000,7070,CAN,1948 Summer,1948,Summer,London,Basketball,Basketball Men's Basketball,
14000,7571,CAN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Individual",
15000,8096,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Marathon,
16000,8620,GBR,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 333 metres Time Trial,
17000,9105,POL,1976 Summer,1976,Summer,Montreal,Fencing,"Fencing Women's Foil, Team",
18000,9565,GBR,1928 Summer,1928,Summer,Amsterdam,Art Competitions,"Art Competitions Mixed Painting, Drawings And Water Colors",
19000,10051,ITA,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's Sabre, Team",
20000,10532,GER,1998 Winter,1998,Winter,Nagano,Alpine Skiing,Alpine Skiing Women's Slalom,
21000,11090,FRA,1984 Summer,1984,Summer,Los Angeles,Basketball,Basketball Men's Basketball,
22000,11600,NZL,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,
23000,12090,NZL,1976 Winter,1976,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,
24000,12602,SUI,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Quadruple Sculls,
25000,13091,ITA,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,Silver
26000,13566,AUS,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Men's Basketball,
27000,14046,ALG,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's 800 metres,
28000,14502,CAN,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,
29000,14998,GER,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's Foil, Team",
30000,15488,BAH,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
31000,15962,FIJ,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 100 metres Breaststroke,
32000,16445,CRO,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Bronze
33000,16981,RUS,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Women's Singles,
34000,17513,PHI,1968 Summer,1968,Summer,Mexico City,Boxing,Boxing Men's Bantamweight,
35000,18032,GBR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,
36000,18495,AUS,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Pairs,
37000,19025,CHI,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Balance Beam,
38000,19528,CUB,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,
39000,20083,KEN,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 5,000 metres",
40000,20572,HKG,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
41000,21127,HKG,1984 Summer,1984,Summer,Los Angeles,Judo,Judo Men's Half-Lightweight,
42000,21648,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
43000,22173,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Pairs,
44000,22673,IRL,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,
45000,23206,MEX,2012 Summer,2012,Summer,London,Football,Football Men's Football,Gold
46000,23735,USA,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,Bronze
47000,24220,CHI,1984 Summer,1984,Summer,Los Angeles,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",
48000,24734,BRA,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Men's 200 metres,
49000,25251,CZE,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Four,
50000,25745,GBR,1912 Summer,1912,Summer,Stockholm,Fencing,"Fencing Men's epee, Team",Silver
51000,26213,NED,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Women's 5,000 metres",
52000,26727,USA,1936 Summer,1936,Summer,Berlin,Fencing,"Fencing Women's Foil, Individual",
53000,27214,FRA,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Jumping, Individual",
54000,27708,YUG,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Team All-Around,
55000,28189,POR,1948 Summer,1948,Summer,London,Athletics,Athletics Men's Long Jump,
56000,28693,CAN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Men's Parallel Bars,
57000,29198,AUT,1972 Summer,1972,Summer,Munich,Shooting,"Shooting Mixed Free Pistol, 50 metres",Bronze
58000,29680,GBR,1988 Summer,1988,Summer,Seoul,Table Tennis,Table Tennis Men's Doubles,
59000,30200,RSA,1992 Summer,1992,Summer,Barcelona,Wrestling,"Wrestling Men's Featherweight, Freestyle",
60000,30729,GER,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Women's epee, Individual",
61000,31251,GER,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's Decathlon,Bronze
62000,31743,LTU,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Men's Basketball,Bronze
63000,32293,ISL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Pole Vault,
64000,32791,LUX,1924 Summer,1924,Summer,Paris,Gymnastics,Gymnastics Men's Rings,
65000,33265,GER,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",
66000,33769,GER,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,
67000,34270,ITA,1992 Winter,1992,Winter,Albertville,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres,
68000,34732,AHO,1960 Summer,1960,Summer,Roma,Weightlifting,Weightlifting Men's Middle-Heavyweight,
69000,35183,FRA,1920 Summer,1920,Summer,Antwerpen,Equestrianism,"Equestrianism Men's Vaulting, Individual",Silver
70000,35659,POR,1936 Summer,1936,Summer,Berlin,Sailing,Sailing Mixed Two Person Keelboat,
71000,36149,AND,1980 Winter,1980,Winter,Lake Placid,Alpine Skiing,Alpine Skiing Men's Downhill,
72000,36632,ITA,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Pommelled Horse,
73000,37102,FRA,1968 Summer,1968,Summer,Mexico City,Rowing,Rowing Men's Coxed Fours,
74000,37597,GER,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horse Vault,
75000,38057,ARG,1952 Summer,1952,Summer,Helsinki,Fencing,"Fencing Men's Sabre, Team",
76000,38573,CUB,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 50 metres Freestyle,
77000,39076,FRA,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's epee, Team",Gold
78000,39611,BUL,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,
79000,40112,GRE,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
80000,40600,GBR,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Slalom,
81000,41131,RUS,2000 Summer,2000,Summer,Sydney,Shooting,"Shooting Women's Air Rifle, 10 metres",
82000,41639,ARG,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Men's Basketball,
83000,42161,USA,1936 Summer,1936,Summer,Berlin,Athletics,Athletics Men's Pole Vault,
84000,42689,CRC,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Backstroke,
85000,43136,NED,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 100 metres Butterfly,
86000,43610,ESA,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 400 metres Freestyle,
87000,44128,SWE,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
88000,44619,MAR,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 800 metres,
89000,45124,FIN,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",
90000,45610,AUS,2000 Summer,2000,Summer,Sydney,Equestrianism,"Equestrianism Mixed Dressage, Team",
91000,46107,ESP,1968 Summer,1968,Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",
92000,46617,SUI,1948 Summer,1948,Summer,London,Fencing,"Fencing Men's epee, Team",
93000,47115,UKR,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Ice Dancing,
94000,47581,CAN,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Women's Three Person Keelboat,
95000,48104,ARG,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Men's Featherweight,
96000,48602,HKG,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 200 metres,
97000,49106,NOR,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Double Sculls,
98000,49607,CZE,2000 Summer,2000,Summer,Sydney,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",
99000,50108,YUG,1948 Summer,1948,Summer,London,Rowing,Rowing Men's Coxed Pairs,
100000,50605,CHN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Long Jump,
101000,51070,USA,1960 Summer,1960,Summer,Roma,Swimming,Swimming Men's 100 metres Freestyle,
102000,51597,ROU,1984 Winter,1984,Winter,Sarajevo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,
103000,52114,FIN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's Javelin Throw,
104000,52626,NED,1924 Summer,1924,Summer,Paris,Art Competitions,Art Competitions Mixed Painting,
105000,53146,GBR,1984 Summer,1984,Summer,Los Angeles,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",
106000,53618,KOR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 100 metres Freestyle,
107000,54082,SRI,2008 Summer,2008,Summer,Beijing,Badminton,Badminton Women's Singles,
108000,54599,KOR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 30 km Skiathlon,
109000,55109,NOR,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Rings,
110000,55617,USA,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,
111000,56161,KOR,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Men's Horse Vault,
112000,56724,ZIM,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,
113000,57251,THA,1964 Summer,1964,Summer,Tokyo,Sailing,Sailing Mixed One Person Dinghy,
114000,57745,NED,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",
115000,58252,LIB,1980 Summer,1980,Summer,Moskva,Cycling,"Cycling Men's Road Race, Individual",
116000,58749,NZL,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 400 metres Individual Medley,
117000,59243,CYP,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Windsurfer,
118000,59706,NOR,1998 Winter,1998,Winter,Nagano,Bobsleigh,Bobsleigh Men's Four,
119000,60241,KOR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Team All-Around,
120000,60751,FIN,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,
121000,61202,CAN,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Rifle, 10 metres",
122000,61682,JPN,1998 Winter,1998,Winter,Nagano,Luge,Luge Women's Singles,
123000,62165,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,
124000,62636,SWE,1964 Summer,1964,Summer,Tokyo,Gymnastics,Gymnastics Men's Horizontal Bar,
125000,63092,CRO,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,
126000,63544,CAN,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Women's Long Jump,
127000,64027,AUT,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,
128000,64503,CZE,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Women's 100 metres Butterfly,
129000,64950,RUS,1912 Summer,1912,Summer,Stockholm,Sailing,Sailing Mixed 8 metres,
130000,65439,NOR,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Women's Uneven Bars,
131000,65943,MAR,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Individual Time Trial,
132000,66435,GER,1960 Summer,1960,Summer,Roma,Canoeing,Canoeing Men's Kayak Relay 4 x 500 metres,Gold
133000,66946,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Team All-Around,Gold
134000,67472,TPE,2012 Summer,2012,Summer,London,Archery,Archery Women's Individual,
135000,67926,KOR,2010 Winter,2010,Winter,Vancouver,Short Track Speed Skating,"Short Track Speed Skating Men's 1,000 metres",Silver
136000,68425,FIN,1984 Winter,1984,Winter,Sarajevo,Ice Hockey,Ice Hockey Men's Ice Hockey,
137000,68878,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
